12-Oct-11,548.13,555.23,544.63,548.5,3178044
13-Oct-11,550.03,559,548.02,558.99,5687512
14-Oct-11,599.47,599.6,587.57,591.68,8532242
17-Oct-11,583.72,591.83,578,582.41,4008302
18-Oct-11,580.19,592.56,577.4,590.51,3802493
19-Oct-11,587.34,592.06,579.22,580.7,2931804
20-Oct-11,581.9,588.89,579.51,583.67,3379069
21-Oct-11,589.51,592.75,586.7,590.49,3394233
24-Oct-11,586.72,599.97,586.5,596.42,3427548
25-Oct-11,593.1,595,582.85,583.16,2540445
26-Oct-11,589.55,590.18,572.86,586.31,2873690
27-Oct-11,598.42,602.7,593.3,598.67,3780722
28-Oct-11,594.52,602.3,594.25,600.14,2508147
31-Oct-11,595.09,599.69,591.67,592.64,2557738
1-Nov-11,580.1,585.51,576.75,578.65,3125199
2-Nov-11,584.9,587.96,580.48,584.82,2121899
3-Nov-11,587,597.5,583.72,597.5,2669745
4-Nov-11,593.5,599.74,592.43,596.14,2835379
7-Nov-11,593.32,608.78,592.23,608.33,3358867
8-Nov-11,609,614.37,603.6,612.34,3029383
9-Nov-11,604.26,609.39,598.66,600.95,3711062
10-Nov-11,605.94,605.95,591.56,595.08,2868599
11-Nov-11,601.3,612.09,598.6,608.35,3977320
14-Nov-11,608,618.08,607.78,613,3188932
15-Nov-11,612.8,618.08,610.5,616.56,2675961
16-Nov-11,612.08,618.3,610.61,611.47,2610280
17-Nov-11,610.05,612.29,596.78,600.87,3493472
18-Nov-11,602,604.5,593.75,594.88,3287618
21-Nov-11,587.76,588.5,572.09,580.94,3001666
22-Nov-11,580,584.97,575.24,580,2405579
23-Nov-11,570.11,570.11,570.11,570.11,0
25-Nov-11,565.19,574.27,561.33,563,1562341
28-Nov-11,579.37,588.82,576.5,588.19,2828967
29-Nov-11,587.88,590.36,581.33,582.93,1832619
30-Nov-11,597.95,599.51,592.09,599.39,3397279
1-Dec-11,600,616,599,613.77,3621293
2-Dec-11,617.05,624,616.26,620.36,4085965
5-Dec-11,627.64,631.9,622.4,625.65,3198026
6-Dec-11,622.99,628.62,620.24,623.77,2326518
7-Dec-11,621.68,625.66,618.1,623.39,2257980
8-Dec-11,621.04,627.45,615.3,616.05,2414400
9-Dec-11,618,629.13,617.01,627.42,2768503
12-Dec-11,621.88,626.18,620.29,625.39,2185234
13-Dec-11,628.76,636.56,622.85,625.63,4028638
14-Dec-11,621.85,624.32,612.49,618.07,3904882
15-Dec-11,622.52,624,618.69,619.54,2409785
16-Dec-11,624.32,629.32,621.47,625.96,4459782
19-Dec-11,628.01,628.5,620,621.83,2144189
20-Dec-11,628,631.84,627.99,630.37,2388184
21-Dec-11,630.01,631.82,618.96,625.82,2498154
22-Dec-11,627.95,631.73,627.01,629.7,1824156
23-Dec-11,631.88,631.88,631.88,631.88,0
27-Dec-11,632.05,644.49,632,640.25,1609052
28-Dec-11,642.75,645,638.1,639.7,2127130
29-Dec-11,641.49,643,635.2,642.4,1575595
30-Dec-11,645.9,645.9,645.9,645.9,0
3-Jan-12,652.94,668.15,652.37,665.41,3677850
4-Jan-12,665.03,670.25,660.62,668.28,2864365
5-Jan-12,662.13,663.97,656.23,659.01,3283277
6-Jan-12,659.15,660,651.76,652.73,1524820
9-Jan-12,646.5,647,621.23,622.46,5825720
10-Jan-12,629.75,633.8,616.91,623.14,4395615
11-Jan-12,623.5,629.39,621.12,625.96,2400582
12-Jan-12,631.22,632.89,626.5,629.64,1875854
13-Jan-12,624.99,624.99,624.99,624.99,0
17-Jan-12,631.98,631.98,625.68,628.58,1909394
18-Jan-12,626.63,634,622.12,632.91,2763190
19-Jan-12,640.99,640.99,631.46,639.57,6305274
20-Jan-12,590.53,591,581.7,585.99,10576774
23-Jan-12,586,588.66,583.16,585.52,3413040
24-Jan-12,586.32,587.68,578,580.93,3056391
25-Jan-12,577.51,578.71,566.38,569.49,4988196
26-Jan-12,571.98,574.48,564.55,568.1,3228004
27-Jan-12,570.78,580.32,569.33,579.98,3618815
30-Jan-12,578.05,580,573.4,577.69,2330967
31-Jan-12,583,584,575.15,580.11,2142716
1-Feb-12,584.94,585.5,579.14,580.83,2320950
2-Feb-12,584.87,586.41,582.08,585.11,2414672
3-Feb-12,590.66,597.07,588.05,596.33,3169260
6-Feb-12,595.01,610.83,594.01,609.09,3679755
7-Feb-12,607.15,609.39,603.76,606.77,2092035
8-Feb-12,609.7,609.7,609.7,609.7,0
9-Feb-12,612.02,614.5,609,611.46,2265433
10-Feb-12,607.88,608.13,604,605.91,2325443
13-Feb-12,610.5,613.84,610.02,612.2,1816551
14-Feb-12,611.54,612,604.76,609.76,1803851
15-Feb-12,612.93,612.93,602.56,605.56,2426960
16-Feb-12,602.82,608.81,597.73,606.52,2530861
17-Feb-12,604.97,607.63,602.4,604.64,2449229
21-Feb-12,603.87,617.88,602.88,614,2481110
22-Feb-12,611.96,616.78,606.71,607.94,1967855
23-Feb-12,607,607.94,600.35,606.11,2055030
24-Feb-12,607.35,611.65,605.51,609.9,1937074
27-Feb-12,606.59,612.36,605.06,609.31,1814618
28-Feb-12,610,619.77,607.68,618.39,2847797
29-Feb-12,618.6,625.6,615.5,618.25,3136837
1-Mar-12,622.26,625.7,618.15,622.4,2238010
2-Mar-12,622,624,620.32,621.25,1573214
5-Mar-12,620.43,622.49,611.38,614.25,1593250
6-Mar-12,608.05,608.81,593.84,604.96,3175216
7-Mar-12,609.05,611.19,605.86,606.8,1264892
8-Mar-12,610.04,611.5,606.35,607.14,1345428
9-Mar-12,607.95,611.9,600,600.25,2671524
12-Mar-12,600,607,599.26,605.15,1669376
13-Mar-12,608.75,617.85,605.55,617.78,2247354
14-Mar-12,615,622.78,613.46,615.99,2936857
15-Mar-12,616.6,623.5,614.83,621.13,2435340
16-Mar-12,620.89,625.91,620.05,625.04,3050457
19-Mar-12,623.12,637.27,621.24,633.98,2172971
20-Mar-12,630.92,636.06,627.27,633.49,1540778
21-Mar-12,634.61,647.39,632.51,639.98,2469637
22-Mar-12,638.5,648.8,631,646.05,2410320
23-Mar-12,646.6,648.5,640.9,642.59,1940335
26-Mar-12,645,649.49,639.54,649.33,1821467
27-Mar-12,647.03,653.5,644.8,647.02,2008804
28-Mar-12,652.03,658.59,651.08,655.76,2538808
29-Mar-12,653.44,656.59,644.3,648.41,1924315
30-Mar-12,651.75,653.49,641,641.24,2312245
2-Apr-12,640.77,647.5,634.84,646.92,2284338
